report_id,setting,city,country,injury_category,severity,primary_classification,year,title,category,risk,what_happened,what_could_have_happened,why_did_it_happen,causal_factors,what_went_well,lessons_to_prevent,actions
0,chemical processing unit general operations area,,canada,injury,potentially significant,health safety,2019,minor vapor release instrument tubing replacement,safety,2,technicians replacing short run small bore signal tubing pressure transmitter part routine reliability maintenance line believed fully isolated depressurized based work permit verbal handover technician loosened final fitting brief release light hydrocarbon vapor occurred residual pressure trapped impulse line release dissipated quickly due strong ventilation open air structure worker stepped back closed fitting notified operations area secured unit controller confirmed alarms ignition sources nearby personnel exposure symptoms work suspended isolation plan verified resuming,vapor cloud accumulation low ventilation zone leading potential ignition worker exposure causing respiratory irritation dizziness escalation larger release impulse line higher pressure pocket activation gas detection systems forcing unplanned process shutdown,root causes isolation plan assumed transmitter secondary block valve fully eliminated trapped volume specify venting requirements incomplete integration small bore tubing tasks site standard isolation design philosophy insufficient detail maintenance planning assessing pressure retaining components dead legs,time pressure finish tasks scheduled operations meeting verbal shift handover lacked clarity status upstream valves congested workspace made difficult workers visually confirm valve orientation limited recent refresher training identifying hidden pressure traps worker relied past experience rather structured vent verification step,technician immediately stopped work secured fitting natural ventilation dispersed vapor quickly operations responded promptly established safe perimeter gas monitors remained normal range confirming escalation team conducted spot learning review restarting work,treat small bore tubing pressure retaining positively vented ensure isolation diagrams specify venting steps trapped volumes strengthen shift handover expectations isolations span crews improve field labeling visibility local block valves reinforce use structured pause points loosening fittings,action add explicit vent point check transmitter tubing replacement job plans owner role maintenance planner timing days verification spot audit next relevant jobs action install high visibility tags local instrument block valves owner operations supervisor timing days verification field walkdown signoff action update isolation standard include guidance dead leg volumes owner process safety engineer timing days verification procedure approval plus training record review action conduct refresher training identifying pressure traps tubing work owner hse advisor timing days verification attendance log post training quiz action implement mandatory vent verified checkbox permit small bore maintenance owner permit work coordinator timing immediate verification weekly ptw compliance review action improve shift handover template include isolation status owner operations manager timing days verification review completed handover forms action add pre job field review requirement confirming valve orientation owner maintenance lead timing immediate verification supervisor signoff first tasks action evaluate installation permanent bleed points frequent maintenance locations owner reliability engineer timing days verification engineering change request approval action reinforce stop work authority messaging toolbox talks owner hse advisor timing immediate verification toolbox attendance sheets action conduct focused operational discipline observation campaign congested areas owner operations excellence lead timing days verification observation records closeout report
1,utilities area process sampling station,,usa,injury,potentially significant,health safety,2021,unexpected pressure release sampling line replacement,safety,2,maintenance crew assigned replace short segment stainless steel sampling line shown signs external corrosion job scheduled normal operations isolation permit stating line depressurized drained technician loosened second compression fitting brief jet warm water vapor escaped pocket residual pressure identified job plan technician stepped back immediately team activated stop work operations secured area verified upstream isolation valve fully seated release stopped five seconds one exposed injured work resumed revised isolation venting plan put place,accumulation warm vapor leading thermal exposure potential escalation larger leak fitting fully detached slip hazard forming grating pooled condensate potential activation nearby analyzers alarms causing process disruption,root causes isolation plan consider trapped fluid low point section created previous plant modifications engineering documentation outdated missing built routing sampling line venting requirements small volume piping insufficiently defined,crews relied verbal confirmation rather physically verifying valve position condensate generation adjacent equipment increased line temperature pressure unexpectedly time pressure complete task inspection window narrowed hazard recognition work area congestion limited access vent plug location,technician backed away immediately demonstrating effective situational awareness area ventilation rapidly dispersed vapor operations responded promptly validated full system isolation starting work personnel adhered stop work authority without hesitation ppe requirements gloves faceshields long sleeves provided effective protection,always verify vent paths small bore low point sections loosening fittings update engineering drawings equipment routing changes include trapped volume checks isolation procedures reinforce formal valve position verification rather relying verbal assurance reduce task time pressure scheduling sampling line work controlled windows improve access vent points maintenance friendly layout reviews,action add mandatory trapped volume assessment sampling line maintenance job plans owner role maintenance planner timing days verification audit first five updated job plans action update piping instrumentation drawings p ids reflect built routing owner engineering supervisor timing days verification document revision approval action introduce valve position verification checklist isolation jobs owner operations lead timing immediate verification weekly ptw compliance review action conduct field walkdowns identify low point traps sampling systems owner reliability engineer timing days verification site walkdown report action improve access vent plugs installing extended handles auxiliary drains owner mechanical engineer timing days verification closure report maintenance action refresh training stop work pre task hazard identification owner hse advisor timing days verification attendance tracking action add pre job hold point operations physically confirm isolations owner shift supervisor timing immediate verification ptw field review checklist action incorporate sampling line risk scenarios toolbox talk rotation owner operations trainer timing days verification toolbox talk logs action establish scheduling guideline avoid maintenance tasks peak production transitions owner planning manager timing days verification review updated scheduling rules action launch targeted operational discipline observation campaign valve isolation tasks owner operations excellence lead timing days verification observation summaries follow actions exposure case following required one page structure rules
2,chemical unloading bay mid scale processing facility,,canada,medical treatment,potentially significant,health safety,2023,vapor release transfer hose connection metering pad,safety,2,two person operations crew preparing unload tote mildly corrosive solvent used routine cleaning cycles task required connecting flexible transfer hose fixed suction line leading day tank permit work issued crew confirmed line isolated drained based previous shift note operator loosened blind flange attach hose small cloud solvent vapor escaped line accompanied short burst liquid droplets operator stepped back inhaled small amount retreating second operator activated stop work closed tote valve initiated area ventilation fans operator inhaled vapor experienced eye irritation coughing taken medical evaluation escalation occurred area barricaded line confirmed empty properly vented,inhalation higher concentration vapor causing respiratory injury liquid splash unprotected skin eyes resulting chemical burns vapor cloud migration causing alarms triggering wider shelter place procedures release entering nearby trenches contained complicating cleanup,root causes isolation procedure include mandatory vent verification step low point sections suction line engineering drawings outdated showing straight run mid level elbow created trap residual solvent pre task review relied shift handover notes rather performing physical confirmation,time pressure due several totes scheduled unloading morning limited lighting unloading bay made vent plug difficult see crew assumed similarity previous batches line drained completely dedicated indicator e g sight glass drain gauge confirm empty status incomplete hazard identification jha vapors ambient temperature underestimated,stop work authority used immediately ventilation fans cleared vapor cloud quickly spill confined within graded pad environmental release occurred crew followed emergency health evaluation protocols without delay clear communication control room ensured area remained isolated safe,always confirm venting draining lines removing blinds fittings ensure engineering drawings accurately reflect built piping especially elbows low points rely solely previous shift status perform physical checks incorporate vapor hazard assessment chemical transfer jhas improve lighting unloading areas support effective verification use mechanical indicators dedicated drains confirm empty lines,action add vent verification step chemical transfer isolation procedures owner role operations supervisor timing immediate verification field audit next transfer jobs action update suction line drawings reflect actual piping configuration owner engineering lead timing days verification approved drawing revision design review signoff action install improved lighting unloading pad owner maintenance lead timing days verification post installation lighting survey action add sight glass low point drain valve confirming line empty status owner mechanical engineer timing days verification engineering change record commissioning check action update jha template include explicit vapor hazard evaluation owner hse advisor timing days verification jha quality review first applicable tasks action enhance shift handover training emphasis verification vs assumption owner operations training coordinator timing days verification training attendance quiz results action conduct targeted observation campaign chemical line break tasks owner operations excellence lead timing immediate verification observation logs closeout summary action evaluate potential installing automatic purge systems frequently used transfer lines owner reliability engineer timing days verification feasibility study recommendation report action reinforce ppe requirements full face shield chemical resistant hood hose connection tasks owner hse advisor timing immediate verification ppe compliance spot checks action add brief pre task venting confirmation checklist permit work owner permit coordinator timing immediate verification weekly ptw audits
3,quality control laboratory wet chemistry area,,canada,medical treatment,potentially significant,health safety,2022,inhalation exposure acid dilution setup,safety,2,lab technician preparing dilution strong inorganic acid routine titration standards task required transferring small volume concentrated acid dilution flask inside benchtop fume hood prior starting technician opened sash arrange glassware fully close beginning transfer acid bottle tipped puff vapor rose bottle threads drifting toward technician breathing zone hood face velocity insufficient sash raised technician experienced immediate throat irritation coughing prompting step back press area alarm coworker assisted moving technician fresh air ventilation system cleared fumes medical evaluation indicated mild chemical irritation long term effects hood tagged airflow verification could completed,higher dose inhalation leading respiratory burns hospitalization splash exposure eyes skin uncontrolled movement coughing vapor trigger nearby corrosion alarms causing wider lab shutdown escalation bottle dropped reaction fumes,root causes laboratory ventilation standards specify required sash height acid transfer tasks preventive maintenance schedule include routine airflow verification hoods training materials lacked emphasis vapor generation bottle threads pouring,technician focused glassware placement forgot lower sash hood face velocity reduced due clutter inside work area restricting airflow time pressure complete preparation scheduled instrument run secondary containment tray place limiting ability position bottle deeper inside hood,technician recognized symptoms early stepped back immediately area alarm emergency response procedures followed without hesitation nearby personnel provided prompt assistance ensured decontamination unnecessary hood isolated quickly prevent additional exposures sds information readily accessible medical staff,always fully lower fume hood sash operational height handling concentrated acids verify hood airflow weekly high hazard tasks even formal inspections less frequent remove clutter hoods maintain proper air patterns visibility incorporate vapor generation risks e g threads caps temperature lab jhas provide refresher training chemical transfer ergonomics hood use use secondary containment deeper hood positioning reactive liquids,action add explicit operational sash height requirements lab chemical handling sops owner role laboratory supervisor timing immediate verification sop revision posted acknowledged technicians action implement weekly airflow checks using portable anemometers hoods owner facilities maintenance lead timing days verification maintenance log review action introduce mandatory decluttering checklist fume hood users owner lab safety coordinator timing immediate verification random weekly spot checks action add dedicated section vapor release points threads caps annual lab safety training owner hse advisor timing days verification training attendance records action install secondary containment trays acid handling hoods owner purchasing lab manager timing days verification completion check lab audit action add pre task hood ready checkbox dilute acid preparation forms owner qa systems specialist timing days verification form compliance audits action conduct lab wide campaign reinforcing sash use visibility markers owner laboratory supervisor timing immediate verification visual confirmation walkthroughs action establish annual engineering review fume hood layouts airflow obstructions owner engineering lead timing days verification review report action tracker action include scenario based drills fumes exposure response lab emergency training owner hse advisor timing days verification drill performance evaluation action tag track fume hood airflow deviations repairs testing completed owner facilities maintenance lead timing immediate verification tag logs post repair certification
4,analytical laboratory organic sample prep bench,,canada,first aid,potentially significant,health safety,2021,solvent transfer splash sample prep,safety,2,laboratory technician preparing calibration standards using volatile flammable solvent task involved transferring solvent l amber bottle several small volumetric flasks using squeeze dispenser technician placed bottle near edge bench make room glassware secure dispenser tip firmly flask opening pressure applied squeeze bottle misalignment caused sudden side spray splashing solvent onto technician glove lab coat sleeve benchtop technician immediately moved back used eyewash sink decontamination notified shift lead spill contained using absorbent pads technician evaluated first aid responders minor skin irritation work area paused proper cleanup ventilation checks completed,solvent spray could contacted technician eyes face causing chemical burns splash could reached electrical equipment creating fire ignition hazard larger spill could saturated clothing increasing inhalation dermal exposure nearby open sample vials could become contaminated compromising quality results,root causes standardized setup solvent transfer tasks inconsistent equipment placement defined spill containment boundaries inadequate pre task risk assessment squeeze bottle use volatile solvents laboratory layout provide sufficient clear workspace safe dispensing,bench clutter reduced maneuverability created unstable glassware placement time pressure complete batches instrument run technician assumed dispenser tip universal multiple flask sizes lack visual markers indicating required distance bench edge gloves nearing end use life reduced splash resistance,technician reacted quickly used immediate decontamination spill confined bench surface reach floor drains ventilation airflow adequate minimize inhalation hazards shift lead initiated stop work coordinated cleanup effectively appropriate ppe gloves coat safety glasses reduced severity,establish defined bench layouts minimum clear workspace requirements solvent tasks use dedicated spill trays flask holding racks liquid transfers verify compatibility fit dispensing equipment starting work conduct quick pre task hazard checks even routine activities replace gloves proactively solvent intensive tasks reinforce training splash zone awareness body positioning,action create standard solvent dispensing setup bench layout diagram required containment equipment owner role laboratory supervisor timing days verification supervisor signoff monthly lab audit action introduce mandatory spill trays solvent transfers ml owner lab safety coordinator timing immediate verification spot checks documented lab safety rounds action procure size specific dispenser tips ensure proper fit volumetric flasks owner purchasing lab manager timing days verification inventory confirmation technician feedback action add solvent transfer micro jha checklist sample prep procedures owner qa systems specialist timing days verification review completed checklists next tasks action implement glove change protocol high frequency solvent task owner hse advisor timing immediate verification ppe compliance inspection logs action reduce bench clutter adopting clean bench policy start shift reset owner laboratory supervisor timing days verification random weekly inspections action add visual floor bench markers indicating safe equipment distances edges owner facilities technician timing days verification visual confirmation hse walkthrough action refresh annual training modules splash hazards ergonomic positioning owner hse advisor timing days verification training attendance quiz results action evaluate alternative dispensing methods pipette pump dropper bottle high risk solvents owner lab manager timing days verification review trial data adoption decision action update near miss reporting procedures capture splash zone deviations owner qa systems specialist timing days verification audit incident reporting completeness waste splash centrifuge tube failure incompatible mixing
5,laboratory waste handling area,vancouver,canada,first aid,potentially significant,health safety,2023,solvent bottle tipped waste consolidation,safety,2,technician consolidating small quantities spent organic solvent designated waste carboy end afternoon shift several small bottles accumulated space bench limited reaching across bench retrieve partially full bottle technician sleeve brushed another container tipping splash solvent struck technician glove lower sleeve small amount landed bench surface technician immediately stepped back used eyewash sink rinse exposed areas notified area lead ventilation increased spill cleaned using absorbent pads technician experienced mild skin irritation required first aid treatment work resumed area cleared containers reorganized,solvent could splashed toward technician face eyes causing serious injury liquid could contacted electrical connections bench creating ignition risk larger spill could saturated clothing produced hazardous vapors cross contamination incompatible wastes could occurred containers mixed fall,root causes work area design include dedicated consolidation zone adequate spacing waste handling procedures specify limits number small containers allowed bench training materials lacked clarity safe reach zones container placement hierarchy,bench clutter reduced available movement space technician multitasking trying finish shift change containers varying sizes placed close together without containment trays sleeve length loose clothing increased likelihood accidental contact visual markers indicating safe container spacing,technician recognized exposure quickly used prompt decontamination spill remained contained bench reach floor drains ppe reduced severity skin exposure good communication area lead enabled safe response cleanup ventilation adjustments applied immediately,establish dedicated uncluttered waste consolidation zone keep one container open time solvent transfers use spill trays bottle stands prevent tipping reinforce guidance body positioning reach zones avoiding overextension implement limits number containers allowed bench consolidation adopt periodic bench reset procedures shift changes,action create standardized layout waste consolidation stations defined spacing zones owner role lab supervisor timing days verification layout check weekly lab walkdown action introduce maximum container count rules consolidation tasks owner hse advisor timing immediate verification random compliance audits action install spill trays bottle stabilizers consolidation benches owner facilities technician timing days verification inventory installation checklist action update waste handling sops explicit reach zone body position guidance owner qa systems specialist timing days verification sop revision approval action provide refresher training solvent handling ergonomics line fire awareness owner hse advisor timing days verification training attendance logs action implement mandatory bench reset start end shift owner lab supervisor timing immediate verification supervisor spot checks action add visual cues tape outlines markers showing minimum container spacing owner facilities technician timing days verification visual inspection action procure fitted lab coat sleeves sleeve retainers solvent handling tasks owner purchasing timing days verification ppe issue records action add unannounced ergonomic hazard observations monthly hse rounds owner hse advisor timing immediate verification observation reports action update newhire onboarding include handson solventtransfer practice mock bottles owner training coordinator timing days verification skills demonstration signoff hire onboarding include hands solvent transfer practice mock bottles
6,corporate office open work area,vancouver,canada,injury,potentially significant,health safety,2024,coffee spill near power strip shared workspace,safety,2,employee carried full cup hot coffee kitchenette desk busy morning several teammates gathered around shared table reviewing documents causing walkway narrow employee stepped around chair elbow bumped stack folders sitting edge table impact caused folders slide employee instinctively shifted cup prevent items falling sudden movement caused coffee spill onto carpet splatter near extension cord powering multiple laptops coworker quickly unplugged power strip preventing potential electrical hazards one injured work immediate area paused cleaning staff ensured floor cables safe use,hot coffee could splashed onto employee hands lap causing burns liquid contacting power strip could caused electrical shorting minor arcing someone could slipped wet carpet area cordoned valuable documents electronic equipment could damaged,root causes workspace layout account temporary congestion collaborative discussions clear housekeeping standards keeping walkways table edges free stacked materials absence guidance discouraging employees carrying open liquids crowded areas,employees multitasking focused group discussion rather walkway clearance stacked folders placed close table edge employee carrying uncovered full beverage without stabilization morning rush increased foot traffic distr,quick unplugging power strip reduced electrical risk spill cleaned promptly area secured avoid slips employees communicated clearly stopped work immediately incident office ppe closed toe shoes prevented potential foot splashes causing injury,maintain clear walkways especially impromptu team huddles store documents materials away edges bumped encourage use spill proof mugs moving beverages around office review office housekeeping practices shared tables collaborative zones promote awareness potential electrical hazards around liquids,went well quick unplugging power strip reduced electrical risk spill cleaned promptly area secured avoid slips employees communicated clearly stopped work immediately incident office ppe closed toe shoes prevented potential foot splashes causing injury lessons prevent occurrence maintain clear walkways especially impromptu team huddles store documents materials away edges bumped encourage use spill proof mugs moving beverages around office review office housekeeping practices shared tables collaborative zones promote awareness potential electrical hazards around liquids actions action add signage encouraging spill proof containers open office areas owner role office services coordinator timing days verification visual confirmation floor checks action establish guidelines keeping shared tables walkway edges clear owner hse advisor timing immediate verification weekly housekeeping audits action rearrange collaborative spaces provide wider movement paths owner facilities manager timing days verification post implementation walkthrough report action provide cable management solutions elevate protect power strips spills owner support lead timing days verification equipment installation log action deliver short safety reminder next hands meeting safe transport liquids owner hse advisor timing immediate verification meeting minutes attendance action implement edge free zones marking shared tables prevent material stacking edges owner office services coordinator timing days verification visual inspection action introduce routine morning floor sweeps congestion prone areas owner facilities manager timing immediate verification daily sweep checklist action provide spill kits office kitchenette areas owner hse advisor timing days verification stock location check action add simple risk awareness slide onboarding office based staff owner hr training lead timing days verification training record review action encourage team leads relocate discussions meeting rooms peak traffic periods owner department managers timing immediate verification periodic behavioral observation
7,utilities area generic process unit,,canada,injury,near miss,health safety,2019,unexpected pressure release manual valve isolation,safety,2,operators preparing low pressure line maintenance isolating manual block valve task routine conducted day shift technician cracked open downstream drain verify zero energy short burst pressurized vapor escaped worker immediately stepped back closed drain team notified control established temporary cordon subsequent check confirmed secondary valve upstream fully seated allowing residual pressure accumulate one injured area safely depressurized maintenance resumed,full line opening could released continuous stream hot vapor worker could suffered thermal irritation eyes airways release might triggered unit alarm causing unplanned shutdown nearby contractors could exposed within egress path,root causes incomplete isolation planning job plan require verification upstream valve seating draining inadequate equipment design upstream valve showed early signs internal wear reducing sealing reliability procedural gap isolation steps include cross check operations maintenance leads,time pressure hand equipment end shift limited visibility around valve handles due congested pipe racks communication lapse toolbox talk team assumed normal isolation without revisiting recent valve performance concerns technician relied past experience rather full isolation checklist nearby noise made verbal confirmation difficult,worker reacted quickly stepped back preventing exposure ppe face shield gloves provided adequate protection brief vapor burst control room promptly informed enabling coordinated response area isolated quickly preventing bystander exposure,always verify isolation integrity using primary secondary indicators reassess valve health planning aging valves need additional checks ensure toolbox talks include recent equipment behavior deviations use standardized hand signals radios ambient noise impairs communication reinforce discipline around using full isolation checklists design congested areas improved access isolation tasks,action add mandatory upstream valve seating verification isolation procedure owner ops supervisor timing days verification procedure audit field walkthrough action inspect refurbish valves showing degraded sealing performance owner maintenance lead timing days verification cmms records review functional test results action update toolbox talk template include recent equipment anomalies prompt owner hse advisor timing days verification observed use pre job meetings action introduce handheld radio protocol tasks high noise areas owner operations manager timing days verification field spot checks action conduct targeted training isolation hierarchy double valve verification owner training coordinator timing days verification attendance logs post training quiz action reassess valve accessibility congested rack areas propose layout improvements owner reliability engineer timing days verification engineering review package action implement periodic reviews isolation checklists completeness owner hse systems lead timing days verification documented checklist revisions action add temporary barriers barricade tape requirement isolation work owner ops supervisor timing immediate verification field inspection action establish short isolation confirmation step operations maintenance draining owner maintenance planner timing days verification updated job plans action launch brief awareness campaign highlighting recent near misses involving isolation lapses owner hse advisor timing days verification campaign materials workforce feedback
8,general processing area liquid handling,trinidad tobago,,injury,near miss,health safety,2021,minor solvent spill hose transfer setup,safety,2,two person operations team prepared routine solvent transfer bulk tote day tank starting pump connected flexible hose equipped cam lock fitting operator noticed slight resistance engaging lock assumed properly seated moments initiating low flow priming step narrow stream solvent appeared coupling team immediately stopped pump closed isolation valve spill contained within small drip tray already positioned connection point clean closer inspection revealed gasket inside cam lock folded inward preventing proper seal,larger release pump ramped full transfer rate potential slip hazard solvent migrated outside containment tray possible inhalation exposure vapors confined loading area equipment damage solvent contacted nearby instruments wiring,root causes inadequate pre use inspection hose gaskets coupling hardware lack standardized verification step confirming full cam lock engagement procedures require replacement aging gaskets fixed schedule,time pressure complete transfer scheduled truck arrival congested work area limited operator line sight coupling assumption resistance locking due normal wear peer check performed starting pump reduced lighting bay contributed missed gasket deformation,operator noticed leak quickly stopped transfer immediately drip tray positioned correctly prevented spread solvent communication two workers clear prompt ppe gloves goggles long sleeves prevented contact irritation spill response supplies hand enabling rapid clean,incorporate tactile visual verification hose fittings energizing pumps replace gaskets regularly based condition service hours improve lighting transfer bays enhance visibility connection points encourage peer checks hose transfers involving hazardous liquids use color coded gaskets make deformation easier identify include coupling integrity mandatory point pre task briefings,action add hose connection verification step liquid transfer procedure owner role operations supervisor timing days verification field audit updated procedures next transfer action implement gasket replacement schedule transfer hoses owner role maintenance lead timing days verification cmms record review gasket condition checks action install improved led lighting solvent transfer bay owner role facilities coordinator timing days verification post installation lighting measurement operator feedback action introduce peer check requirement pump start hose transfer tasks owner role hse advisor timing days verification observational reports pre task briefing reviews action procure deploy color coded deformation resistant gasket kits owner role procurement stores lead timing days verification inventory tracking spot checks field action conduct refresher session hose handling cam lock inspection techniques owner role training coordinator timing days verification attendance records post training competency quiz action update pre task briefing template include equipment condition anomalies owner role hse systems specialist timing days verification document control review field checks
9,general processing area mechanical maintenance,vancouver,,injury,near miss,health safety,2022,contractor scaffold deck shift equipment removal,safety,2,contractor crew assigned remove small heat exchanger cover internal inspection job required accessing temporary scaffold platform built earlier week lift cover using chain hoist one contractors stepped onto deck plank near edge guide load plank shifted approximately cm one locking pin fully engaged worker immediately stepped back signaled stop lift platform remained stable one fell struck scaffold tag indicated structure inspected issue pin detected shift handover,contractor could fallen elevated platform suspended load could swung struck worker deck collapse could caused multiple injuries load could dropped damaging equipment,root causes inadequate verification scaffold integrity adjustments made earlier morning insufficient coordination contractor supervision site operations regarding scaffold modifications lack standardized inspection requirement scaffold components repositioned,time pressure complete equipment removal upcoming outage task worker assumed locking pins secure scaffold tag green shift handover contractor crews highlight minor adjustments made noise area made communication spotter hoist operator difficult limited visibility pin engagement due shadows decking,contractor immediately initiated stop work deck shifted hoist operator reacted promptly stabilized suspended load workers wearing proper fall protection equipment appropriate platform height area already barricaded preventing unauthorized entry task good communication site operations ensured scaffold isolated investigation,always require documented inspection scaffold modification even minor adjustments reinforce green scaffold tag replace visual tactile checks key components improve coordination contractor crews shift handover highlight scaffold status ensure adequate lighting around elevated work areas verify secure engagement locking pins establish clear hand signals radio protocols environmental noise affects communication,action add mandatory scaffold inspection step component adjustment owner role site scaffolding coordinator timing days verification random field audits updated scaffolding checklists action update contractor induction include hands demonstration locking pin verification owner role hse advisor timing days verification attendance logs post training competency checks action enhance lighting around multi level scaffolds congested work areas owner role facilities maintenance lead timing days verification light level readings operator feedback action implement formal contractor contractor shift handover template scaffold related tasks owner role contractor supervisor timing days verification review completed handover forms action introduce pre lift verification work platform stability part lift plan owner role operations supervisor timing immediate verification field observations lifts action establish radio communication protocol elevated lifts noisy areas owner role operations hse lead timing days verification spot checks field tasks action add scaffold pin engagement checks daily contractor toolbox talks owner role contractor foreman timing immediate verification toolbox talk documentation review breaking excavation generate breaking case
