title,category,risk_level,setting,date,injury_category,severity,primary_classification,what_happened,what_could_have_happened,why_did_it_happen_root_causes,causal_factors,what_went_well,lessons_to_prevent_re_occurrence,actions,n_actions,category_std,city,country,injury_category_std,primary_classification_std,risk,severity_level,IT,Process,Maint,Labs,Office,E&I,Remote,Logistics,Digital,PTW,sentiment_what_happened,sentiment_root_causes
minor vapor release instrument tubing replacement,Safety,Medium,Chemical processing unit / general operations area,2019-01-01,No Injury,Potentially Significant,Health and Safety,technician replace short run small bear signal tubing pressure transmitter part routine reliability maintenance line believe fully isolate depressurized base work permit verbal handover technician loosen final fit brief release light hydrocarbon vapor occur residual pressure trap impulse line release dissipate quickly due strong ventilation open air structure worker step back close fit notify operation area secure unit controller confirm alarm ignition source nearby personnel exposure symptom work suspend isolation plan re verify resume,vapor cloud accumulation low ventilation zone lead potential ignition worker exposure cause respiratory irritation dizziness escalation large release impulse line high pressure pocket activation gas detection system force unplanned process shutdown,isolation plan assume transmitter s secondary block valve fully eliminate trap volume specify vent requirement incomplete integration small bear tubing task site s standard isolation design philosophy insufficient detail maintenance plan assess pressure retain component dead leg,time pressure finish task schedule operation meet verbal shift handover lack clarity status upstream valve congest workspace make difficult worker visually confirm valve orientation limit recent refresher train identify hide pressure trap worker rely past experience rather structure vent verification step,technician immediately stop work re secure fit natural ventilation disperse vapor quickly operation respond promptly establish safe perimeter gas monitor remain normal range confirm escalation team conduct spot learn review restart work,treat small bear tubing pressure retain positively vent ensure isolation diagram specify vent step trap volume strengthen shift handover expectation isolation spin crew improve field label visibility local block valve reinforce use structure pause point loosen fitting,action add explicit vent point check transmitter tubing replacement job plan owner role maintenance planner time day verification spot audit next relevant job action install high visibility tag local instrument block valve owner operation supervisor time day verification field walkdown signoff action update isolation standard include guidance dead leg volume owner process safety engineer time day verification procedure approval plus train record review action conduct refresher train identify pressure trap tubing work owner hse advisor time day verification attendance log post train quiz action implement mandatory vent verify checkbox permit small bear maintenance owner permit work coordinator time immediate verification weekly ptw compliance review action improve shift handover template include isolation status owner operation manager time day verification review complete handover form action add pre_job_field_review_requirement_confirm_valve_orientation owner maintenance lead time immediate verification supervisor signoff first task action evaluate installation permanent bleed point frequent maintenance location owner reliability engineer time day verification engineer change request approval action reinforce stop work authority message toolbox talk owner hse advisor time immediate verification toolbox attendance sheet action conduct focus operational discipline observation campaign congest area owner operation excellence lead time day verification observation record closeout report,10,Safety,Medicine Hat,Canada,No Injury,Health and Safety,2,3,1,0,0,0,0,0,0,0,0,0,0,-6
unexpected pressure release sample line replacement,Safety,Medium,Utilities area / process sampling station,2021-01-01,No Injury,Potentially Significant,Health and Safety,maintenance crow assign replace short segment stainless steel sample line show sign external corrosion job schedule normal operation isolation permit state line depressurized drain technician loosen 2 compression fit brief jet warm water vapor escape pocket residual pressure identify job plan technician step back immediately team activate stop work operation secure area verify upstream isolation valve fully seat release stop five second one expose injure work resume revise isolation vent plan put place,accumulation warm vapor lead thermal exposure potential escalation large leak fit fully detach slip hazard form grate pool condensate potential activation nearby analyzer alarm cause process disruption,isolation plan consider trap fluid low point section create previous plant modification engineer documentation outdate miss build route sample line vent requirement small volume pipe insufficiently define,crew rely verbal confirmation rather physically verify valve position condensate generation adjacent equipment increase line temperature pressure unexpectedly time pressure complete task inspection window narrow hazard recognition work area congestion limit access vent plug location,technician back away immediately demonstrate effective situational awareness area ventilation rapidly disperse vapor operation respond promptly validate full system isolation re start work personnel adhere stop work authority without hesitation ppe requirement glove faceshields long sleeve provide effective protection,always verify vent path small bear low point section loosen fitting update engineer drawing equipment route change include trap volume check isolation procedure reinforce formal valve position verification rather rely verbal assurance reduce task time pressure schedule sample line work control window improve access vent point maintenance friendly layout review,action add mandatory trap volume assessment sample line maintenance job plan owner role maintenance planner time day verification audit first five update job plan action update pipe instrumentation drawing p id reflect build route owner engineer supervisor time day verification document revision approval action introduce valve position verification checklist isolation job owner operation lead time immediate verification weekly ptw compliance review action conduct field walkdowns identify low point trap sample system owner reliability engineer time day verification site walkdown report action improve access vent plug install extend handle auxiliary drain owner mechanical engineer time day verification closure report maintenance action refresh train stop work pre task hazard identification owner hse advisor time day verification attendance track action add_pre_job_hold_point_operation_physically_confirm_isolation owner shift supervisor time immediate verification ptw_field_review_checklist action incorporate sample line risk scenario toolbox talk rotation owner operation trainer time day verification toolbox talk log action establish schedule guideline avoid maintenance_task_peak_production_transition owner plan manager time day verification review update schedule rule action launch target operational discipline observation campaign valve isolation task owner operation excellence lead time day verification observation summary follow action exposure case follow require one page structure rule,10,Safety,Geismar,USA,No Injury,Health and Safety,2,3,0,1,0,0,0,0,0,0,0,0,-1,-3
vapor release transfer hose connection meter pad,Safety,Medium,Chemical unloading bay at a mid / scale processing facility,2023-01-01,Medical Treatment,Potentially Significant,Health and Safety,two person operation crow prepare unload tote mildly corrosive solvent use routine clean cycle task require connect flexible transfer hose fix suction line lead day tank permit work issue crow confirm line isolate drain base previous shift s note operator loosen blind flange attach hose small cloud solvent vapor escape line accompany short burst liquid droplet operator step back inhale small amount retreat 2 operator activate stop work close tote valve initiate area ventilation fan operator inhale vapor experience eye irritation cough take medical evaluation escalation occur area barricade line confirm empty properly vent,inhalation high concentration vapor cause respiratory injury liquid splash unprotected skin eye result chemical burn vapor cloud migration cause alarm trigger wide shelter place procedure release enter nearby trench contain complicate cleanup,isolation procedure include mandatory vent verification step low point section suction line engineer drawing outdate show straight run mid level elbow create trap residual solvent pre task review rely shift handover note rather perform physical confirmation,time pressure due several tote schedule unload morning limit light unload bay make vent plug difficult see crow assume similarity previous batch line drain completely dedicate indicator e g sight glass drain gauge confirm empty status incomplete hazard identification jha vapor ambient temperature underestimate,stop work authority use immediately ventilation fan clear vapor cloud quickly spill confine within grade pad environmental release occur crow follow emergency health evaluation protocol without delay clear communication control room ensure area remain isolate safe,always confirm vent drain line remove blind fitting ensure engineer drawing accurately reflect build pipe especially elbow low point rely solely previous shift status perform physical check incorporate vapor hazard assessment chemical transfer jhas improve light unload area support effective verification use mechanical indicator dedicate drain confirm empty line,action add vent verification step chemical transfer isolation procedure owner role operation supervisor time immediate verification field audit next transfer job action update suction line drawing reflect actual pipe configuration owner engineer lead time day verification approve draw revision design review signoff action install improve light unload pad owner maintenance lead time day verification post installation light survey action add sight glass low point drain valve confirm line empty status owner mechanical engineer time day verification engineer change record commission check action update jha template include explicit vapor hazard evaluation owner hse advisor time day verification jha quality review first applicable task action enhance shift handover train emphasis verification vs assumption owner operation train coordinator time day verification train attendance quiz result action conduct target observation campaign chemical line break task owner operation excellence lead time immediate verification observation log closeout summary action evaluate potential install automatic purge system frequently use transfer line owner reliability engineer time day verification feasibility study recommendation report action reinforce ppe requirement full face shield chemical resistant hood hose connection task owner hse advisor time immediate verification ppe compliance spot check action add brief pre_task_vent_confirmation_checklist_permit_work owner permit coordinator time immediate verification weekly_ptw_audit,10,Safety,Medicine Hat,Canada,Medical Treatment,Health and Safety,2,3,0,1,1,0,0,0,0,0,0,0,0,-1
inhalation exposure acid dilution setup,Safety,Medium,Quality Control Laboratory / Wet Chemistry Area,2022-01-01,Medical Treatment,Potentially Significant,Health and Safety,lab technician prepare dilution strong inorganic acid routine titration standard task require transfer small volume concentrate acid dilution flask inside benchtop fume hood prior start technician open sash arrange glassware fully close begin transfer acid bottle tip puff vapor rise bottle thread drift toward technician s breathe zone hood face velocity insufficient sash raise technician experience immediate throat irritation cough prompt step back press area alarm coworker assist move technician fresh air ventilation system clear fume medical evaluation indicate mild chemical irritation long term effect hood tag airflow verification complete,high dose inhalation lead respiratory burn hospitalization splash exposure eye skin uncontrolled movement cough vapor trigger nearby corrosion alarm cause wide lab shutdown escalation bottle drop reaction fume,laboratory ventilation standard specify require sash height acid transfer task preventive maintenance schedule include routine airflow verification hood train material lack emphasis vapor generation bottle thread pour,technician focus glassware placement forget low sash hood face velocity reduce due clutter inside work area restrict airflow time pressure complete preparation schedule instrument run secondary containment tray place limit ability position bottle deep inside hood,technician recognize symptom early step back immediately area alarm emergency response procedure follow without hesitation nearby personnel provide prompt assistance ensure decontamination unnecessary hood isolate quickly prevent additional exposure sds information readily accessible medical staff,always fully low fume hood sash operational height handle concentrate acid verify hood airflow weekly high hazard task even formal inspection little frequent remove clutter hood maintain proper air pattern visibility incorporate vapor generation risk e g thread cap temperature lab jhas provide refresher train chemical transfer ergonomics hood use use secondary containment deep hood position reactive liquid,action add explicit operational sash height requirement lab s chemical handle sop owner role laboratory supervisor time immediate verification sop revision post acknowledge technician action implement weekly airflow check use portable anemometer hood owner facility maintenance lead time day verification maintenance log review action introduce mandatory decluttering checklist fume hood user owner lab safety coordinator time immediate verification random weekly spot check action add dedicate section vapor release point thread cap annual lab safety train owner hse advisor time day verification train attendance record action install secondary containment tray acid handle hood owner purchase lab manager time day verification completion check lab audit action add pre_task_hood_ready_checkbox_dilute_acid_preparation_form owner qa system specialist time day verification form compliance audit action conduct lab wide_campaign_reinforce_sash_use_visibility_marker owner laboratory supervisor time immediate verification visual confirmation walkthroughs action establish annual engineer review fume hood layout airflow obstruction owner engineer lead time day verification review report action tracker action include scenario base drill fume exposure response lab emergency train owner hse advisor time day verification drill performance evaluation action tag track fume hood airflow deviation repair re test complete owner facility maintenance lead time immediate verification tag log post repair certification,10,Safety,Medicine Hat,Canada,Medical Treatment,Health and Safety,2,3,0,0,0,1,0,0,0,0,0,0,2,-2
solvent transfer splash sample prep,Safety,Medium,Analytical Laboratory / Organic Sample Prep Bench,2021-01-01,First Aid,Potentially Significant,Health and Safety,laboratory technician prepare calibration standard use volatile flammable solvent task involve transfer solvent l amber bottle several small volumetric flask use squeeze dispenser technician place bottle near edge bench make room glassware secure dispenser tip firmly flask open pressure apply squeeze bottle misalignment cause sudden side spray splash solvent onto technician s glove lab coat sleeve benchtop technician immediately move back use eyewash sink decontamination notify shift lead spill contain use absorbent pad technician evaluate first aid responder minor skin irritation work area pause proper cleanup ventilation check complete,solvent spray contact technician s eye face cause chemical burn splash reach electrical equipment create fire ignition hazard large spill saturate clothe increase inhalation dermal exposure nearby open sample vial become contaminate compromise quality result,standardize setup solvent transfer task inconsistent equipment placement define spill containment boundary inadequate pre_task_risk_assessment squeeze bottle use volatile solvent laboratory layout provide sufficient clear workspace safe dispense,bench clutter reduce maneuverability create unstable glassware placement time pressure complete batch instrument run technician assume dispenser tip universal multiple flask size lack visual marker indicate require distance bench edge glove near end use life reduce splash resistance,technician react quickly use immediate decontamination spill confine bench surface reach floor drain ventilation airflow adequate minimize inhalation hazard shift lead initiate stop work coordinate cleanup effectively appropriate ppe glove coat safety glass reduce severity,establish define bench layout minimum clear workspace requirement solvent task use dedicate spill tray flask hold rack liquid transfer verify compatibility fit dispense equipment start work conduct quick pre_task_hazard_check even routine activity replace glove proactively solvent intensive task reinforce train splash zone awareness body position,action create standard solvent dispense setup bench layout diagram require containment equipment owner role laboratory supervisor time day verification supervisor signoff monthly lab audit action introduce mandatory spill tray solvent transfer ml owner lab safety coordinator time immediate verification spot check document lab safety round action procure size specific dispenser tip ensure proper fit volumetric flask owner purchase lab manager time day verification inventory confirmation technician feedback action add solvent transfer micro jha checklist sample prep procedure owner qa system specialist time day verification review complete checklist next task action implement glove change protocol high frequency solvent task owner hse advisor time immediate verification ppe compliance inspection log action reduce bench clutter adopt clean bench policy start shift reset owner laboratory supervisor time day verification random weekly inspection action add visual floor bench marker indicate safe equipment distance edge owner facility technician time day verification visual confirmation hse walkthrough action refresh annual train module splash hazard ergonomic position owner hse advisor time day verification train attendance quiz result action evaluate alternative dispense method pipette pump dropper bottle high risk solvent owner lab manager time day verification review trial datum adoption decision action update near_miss_report_procedure_capture_splash_zone_deviation owner qa system specialist time day verification audit incident report completeness waste splash centrifuge tube failure incompatible mix,10,Safety,Medicine Hat,Canada,First Aid,Health and Safety,2,3,0,0,0,1,0,0,0,0,0,0,1,-2
solvent bottle tip waste consolidation,Safety,Medium,Laboratory Waste Handling Area,2023-01-01,First Aid,Potentially Significant,Health and Safety,technician consolidate small quantity spend organic solvent designate waste carboy end afternoon shift several small bottle accumulate space bench limit reach across bench retrieve partially full bottle technician s sleeve brush another container tip splash solvent strike technician s glove low sleeve small amount land bench surface technician immediately step back use eyewash sink rinse expose area notify area lead ventilation increase spill clean use absorbent pad technician experience mild skin irritation require first aid treatment work resume area clear container reorganize,solvent splash toward technician s face eye cause serious injury liquid contact electrical connection bench create ignition risk large spill saturate clothe produce hazardous vapor cross contamination incompatible waste occur container mix fall,work area design include dedicate consolidation zone adequate space waste handle procedure specify limit numb small container allow bench train material lack clarity safe reach zone container placement hierarchy,bench clutter reduce available movement space technician multitask try finish shift change container vary size place close together without containment tray sleeve length loose clothe increase likelihood accidental contact visual marker indicate safe container space,technician recognize exposure quickly use prompt decontamination spill remain contain bench reach floor drain ppe reduce severity skin exposure good communication area lead enable safe response cleanup ventilation adjustment apply immediately,establish dedicate uncluttered waste consolidation zone keep one container open time solvent transfer use spill tray bottle stand prevent tip reinforce guidance body position reach zone avoid overextension implement limit numb container allow bench consolidation adopt periodic bench reset procedure shift change,action create standardize layout waste consolidation station define space zone owner role lab supervisor time day verification layout check weekly lab walkdown action introduce maximum container count rule consolidation_task owner hse advisor time immediate verification random compliance audit action install spill tray bottle stabilizer consolidation bench owner facility technician time day verification inventory installation checklist action update waste_handle_sop explicit reach zone body position guidance owner qa system specialist time day verification sop revision approval action provide refresher train solvent_handle_ergonomics_line_fire_awareness owner hse advisor time day verification train record action implement mandatory bench reset start end shift owner lab supervisor time immediate verification supervisor spot check action add visual cue tape outline marker show minimum container space owner facility technician time day verification visual inspection action procure fit lab coat sleeve sleeve retainer solvent handle task owner purchase time day verification ppe issue record action add unannounced ergonomic hazard observation monthly hse round owner hse advisor time immediate verification observation report action update newhire onboarding include handson solventtransfer_practice_mock_bottle owner train coordinator time day verification skill demonstration signoff hire onboarding include hand solvent transfer practice mock bottle,10,Safety,Vancouver,Canada,First Aid,Health and Safety,2,3,0,0,0,1,0,0,0,0,0,0,2,2
coffee spill near power strip share workspace,Safety,Medium,Corporate Office / Open Work Area,2024-01-01,No Injury,Potentially Significant,Health and Safety,employee carry full cup hot coffee kitchenette desk busy morning several teammate gather around share table review document cause walkway narrow employee step around chair elbow bump stack folder sit edge table impact cause folder slide employee instinctively shift cup prevent item fall sudden movement cause coffee spill onto carpet splatter near extension cord power multiple laptop coworker quickly unplug power strip prevent potential electrical hazard one injure work immediate area pause clean staff ensure floor cable safe use,hot coffee splash onto employee s hand lap cause burn liquid contact power strip cause electrical short minor arc someone slip wet carpet area cordon valuable document electronic equipment damage,workspace layout account temporary congestion collaborative discussion clear housekeeping standard keep walkway table edge free stack material absence guidance discourage employee carry open liquid crowd area,employee multitask focus group discussion rather walkway clearance stack folder place close table edge employee carry uncover full beverage without stabilization morning rush increase foot traffic distraction,quick unplug power strip reduce electrical risk spill clean promptly area secure avoid slip employee communicate clearly stop work immediately incident office ppe close toe shoe prevent potential foot splash cause injury,maintain clear walkway especially impromptu team huddle store document material away edge can bump encourage use spill proof mug move beverage around office review office housekeeping practice share table collaborative zone promote awareness potential electrical hazard around liquid,action add signage encourage spill proof container open office area owner role office service coordinator time day verification visual confirmation floor check action establish guideline keep share table walkway edge clear owner hse advisor time immediate verification weekly housekeeping audit action rearrange collaborative space provide wide movement path owner facility manager time day verification post implementation walkthrough report action provide cable management solution elevate protect power strip spill owner support lead time day verification equipment installation log action deliver short safety reminder next hand meet safe transport liquid owner hse advisor time immediate verification meet minute attendance action implement edge free zone mark share table prevent material stack edge owner office service coordinator time day verification visual inspection action introduce routine morning floor sweep congestion prone area owner facility manager time immediate verification daily sweep checklist action provide spill kit office kitchenette area owner hse advisor time day verification stock location check action add simple risk awareness slide onboarding office base staff owner hr train lead time day verification train record review action encourage team lead relocate discussion meet room peak traffic period owner department manager time immediate verification periodic behavioral observation,10,Safety,Vancouver,Canada,No Injury,Health and Safety,2,3,0,0,0,0,1,0,0,0,0,0,3,2
unexpected pressure release manual valve isolation,Safety,Medium,Utilities Area / Generic Process Unit,2019-01-01,No Injury,Near Miss,Health and Safety,operator prepare low pressure line maintenance isolate manual block valve task routine conduct day shift technician crack open downstream drain verify zero energy short burst pressurize vapor escape worker immediately step back close drain team notify control establish temporary cordon subsequent check confirm secondary valve upstream fully seat allow residual pressure accumulate one injure area safely depressurized maintenance resume,full line open release continuous stream hot vapor worker suffer thermal irritation eye airway release trigger unit alarm cause unplanned shutdown nearby contractor expose within egress path,incomplete isolation plan job plan require verification upstream valve seat drain inadequate equipment design upstream valve show early sign internal wear reduce seal reliability procedural gap isolation step include cross check operation maintenance lead,time pressure hand equipment end shift limit visibility around valve handle due congest pipe rack communication lapse toolbox talk team assume normal isolation without revisit recent valve performance concern technician rely past experience rather full isolation checklist nearby noise make verbal confirmation difficult,worker react quickly step back prevent exposure ppe face shield glove provide adequate protection brief vapor burst control room promptly inform enable coordinate response area isolate quickly prevent bystander exposure,always verify isolation integrity use primary secondary indicator reassess valve health plan age valve need additional check ensure toolbox talk include recent equipment behavior deviation use standardize hand signal radio ambient noise impair communication reinforce discipline around use full isolation checklist design congest area improve access isolation task,action add mandatory upstream valve seat verification isolation procedure owner op supervisor time day verification procedure audit field walkthrough action inspect refurbish valve show degrade seal performance owner maintenance lead time day verification cmms record review functional test result action update toolbox talk template include recent equipment anomaly prompt owner hse advisor time day verification observe use pre job meeting action introduce handheld radio protocol task high noise area owner operation manager time day verification field spot check action conduct target train isolation hierarchy double valve verification owner train coordinator time day verification attendance log post train quiz action reassess valve accessibility congest rack area propose layout improvement owner reliability engineer time day verification engineer review package action implement periodic review isolation checklist completeness owner hse system lead time day verification document checklist revision action add temporary barrier barricade tape requirement isolation work owner op supervisor time immediate verification field inspection action establish short isolation confirmation step operation maintenance drain owner maintenance planner time day verification update job plan action launch brief awareness campaign highlight recent near miss involve isolation lapse owner hse advisor time day verification campaign material workforce feedback,10,Safety,Medicine Hat,Canada,No Injury,Health and Safety,2,2,1,1,0,0,0,0,0,0,0,0,-2,-2
minor solvent spill hose transfer setup,Safety,Medium,General Processing Area / Liquid Handling,2021-01-01,No Injury,Near Miss,Health and Safety,two person operation team prepare routine solvent transfer bulk tote day tank start pump connect flexible hose equip cam lock fit operator notice slight resistance engage lock assume properly seat moment initiate low flow prime step narrow stream solvent appear couple team immediately stop pump close isolation valve spill contain within small drip tray already position connection point clean close inspection reveal gasket inside cam lock fold inward prevent proper seal,large release pump ramp full transfer rate potential slip hazard solvent migrate outside containment tray possible inhalation exposure vapor confine load area equipment damage solvent contact nearby instrument wire,inadequate pre use inspection hose gasket couple hardware lack standardize verification step confirm full cam lock engagement procedure require replacement age gasket fix schedule,time pressure complete transfer schedule truck arrival congest work area limit operator line sight couple assumption resistance lock due normal wear peer check perform start pump reduce light bay contribute miss gasket deformation,operator notice leak quickly stop transfer immediately drip tray position correctly prevent spread solvent communication two worker clear prompt ppe glove goggle long sleeve prevent contact irritation spill response supply hand enable rapid clean,incorporate tactile visual verification hose fitting energize pump replace gasket regularly base condition service hour improve light transfer bay enhance visibility connection point encourage peer check hose transfer involve hazardous liquid use color code gasket make deformation easy identify include couple integrity mandatory point pre_task_briefing,action add hose connection verification step liquid transfer procedure owner role operation supervisor time day verification field audit update procedure next transfer action implement gasket replacement schedule transfer hose owner role maintenance lead time day verification cmms record review gasket condition check action install improve lead light solvent transfer bay owner role facility coordinator time day verification post installation light measurement operator feedback action introduce peer check requirement pump start hose transfer task owner role hse advisor time day verification observational report pre task brief review action procure deploy color code deformation resistant gasket kit owner role procurement store lead time day verification inventory track spot check field action conduct refresher session hose handle cam lock inspection technique owner role train coordinator time day verification attendance record post train competency quiz action update pre_task_brief_template include equipment condition anomaly owner role hse system specialist time day verification document control review field check,7,Safety,Point Lisas,Trinidad & Tobago,No Injury,Health and Safety,2,2,0,1,0,0,0,0,0,0,0,0,2,-4
contractor scaffold deck shift equipment removal,Safety,Medium,General Processing Area / Mechanical Maintenance,2022-01-01,No Injury,Near Miss,Health and Safety,contractor crow assign remove small heat exchanger cover internal inspection job require access temporary scaffold platform build early week lift cover use chain hoist one contractor step onto deck plank near edge guide load plank shift approximately cm one lock pin fully engage worker immediately step back signal stop lift platform remain stable one fall strike scaffold tag indicate structure inspect issue pin detect shift handover,contractor fall elevate platform suspend load swing strike worker deck collapse cause multiple injury load drop damage equipment,inadequate verification scaffold integrity adjustment make early morning insufficient coordination contractor supervision site operation regard scaffold modification lack standardize re inspection requirement scaffold component reposition,time pressure complete equipment removal upcoming outage task worker assume lock pin secure scaffold tag green shift handover contractor crew highlight minor adjustment make noise area make communication spotter hoist operator difficult limit visibility pin engagement due shadow deck,contractor immediately initiate stop work deck shift hoist operator react promptly stabilize suspend load worker wear proper fall protection equipment appropriate platform height area already barricade prevent unauthorized entry task good communication site operation ensure scaffold isolate investigation,always require document re inspection scaffold modification even minor adjustment reinforce green scaffold tag replace visual tactile check key component improve coordination contractor crew shift handover highlight scaffold status ensure adequate light around elevate work area verify secure engagement lock pin establish clear hand signal radio protocol environmental noise affect communication,action add mandatory scaffold re inspection step component adjustment owner role site scaffold coordinator time day verification random field audit update scaffold checklist action update contractor induction include hand demonstration lock pin verification owner role hse advisor time day verification attendance log post train competency check action enhance light around multi level scaffold congest work area owner role facility maintenance lead time day verification light level reading operator feedback action implement formal contractor contractor shift handover template scaffold relate task owner role contractor supervisor time day verification review complete handover form action introduce pre_lift_verification_work_platform_stability_part_lift_plan owner role operation supervisor time immediate verification field observation lift action establish radio communication protocol elevate lift noisy area owner role operation hse lead time day verification spot check field task action add scaffold_pin_engagement_check_daily_contractor_toolbox_talk owner role contractor foreman time immediate verification toolbox talk documentation review break excavation can generate break case,7,Safety,Vancouver,Canada,No Injury,Health and Safety,2,2,0,1,1,0,0,0,0,0,0,0,1,-2
